method,path,actual_defined_at,contract_refs,presence,wire_version_face,directory_consumption,upstream_call,projection,etag_vary,cache_dedup,traffic_bucket,interface_map_refs,test_files,actual_supported_versions,contract_supported_versions,actual_error_codes_local,contract_error_codes_local,actual_error_codes_inherited,contract_error_codes_inherited,actual_feature_gate,contract_feature_gate,actual_has_boundary,contract_has_boundary
GET,/slimapi/file/status,src/oc_slimapi/routes/read_groups.py:178,v3:§10.a,both,dual,query,GET /file/status,none,启用 +Vary: Accept-Encoding,none,file,INTERFACE_MAP.md:41,test_access_log.py|test_access_log_v3_fields.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py,v3|v4,v3|v4,directory_not_allowed|response_too_large|upstream_unavailable,directory_not_allowed|response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/find/file,src/oc_slimapi/routes/read_groups.py:227,v3:§10.a,both,dual,query,GET /find/file,none,启用 +Vary: Accept-Encoding,none,find,INTERFACE_MAP.md:45,test_access_log.py|test_actions.py|test_actions_routes.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_check_routes_doc.py|test_children_routes.py|test_config.py|test_dbaux_lifecycle.py|test_degraded_observability.py|test_diff_routes.py,v3|v4,v3|v4,response_too_large|upstream_unavailable,response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/global/health,src/oc_slimapi/routes/read_groups.py:591,v3:§10.a,both,dual,none,GET /global/health,none,启用 +Vary: Accept-Encoding,none,global_health,INTERFACE_MAP.md:50|INTERFACE_MAP.md:97,test_access_log.py|test_access_log_v3_fields.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b4_allowlist.py|test_batch3_lifecycle.py|test_children_routes.py|test_command_routes.py|test_db_path_resolution.py|test_dbaux_lifecycle.py|test_dbaux_metrics.py,v3|v4,v3|v4,response_too_large|upstream_unavailable,response_too_large|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/health,src/oc_slimapi/routes/health.py:22,v3:§3a|v3:§5.7a|v3:§10.a|v4:§2|v4:§3.2|v4:§8|v4:§10,both,dual,tolerant,NO_UPSTREAM_IO（自描述）,none,no-store,none,health,INTERFACE_MAP.md:50|INTERFACE_MAP.md:96|INTERFACE_MAP.md:97|INTERFACE_MAP.md:99,test_access_log_v3_fields.py|test_agent_routes.py|test_b4_allowlist.py|test_children_routes.py|test_command_routes.py|test_dbaux_lifecycle.py|test_dbaux_metrics.py|test_degraded_observability.py|test_diff_routes.py|test_etag.py|test_events_tokens.py|test_health.py,v3|v4,v3|v4,NONE,NONE,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/messages/{sid},src/oc_slimapi/routes/messages.py:948,v3:§4|v3:§4a|v3:§4b|v3:§7|v3:§10.a|v4:§14,both,dual,query,GET /session/{sid}/message,mixed,"启用（REP wire=vN 域隔离）+Vary: Accept-Encoding, X-Opencode-Directory",singleflight,messages,INTERFACE_MAP.md:26|INTERFACE_MAP.md:27|INTERFACE_MAP.md:28|INTERFACE_MAP.md:29|INTERFACE_MAP.md:89|INTERFACE_MAP.md:121,test_access_log.py|test_access_log_v3_fields.py|test_agent_routes.py|test_b2_merged_text_compat.py|test_batch3_lifecycle.py|test_check_routes_doc.py|test_command_routes.py|test_diff_routes.py|test_errors.py|test_etag.py|test_expand_config.py|test_expand_href_v4.py,v3|v4,v3|v4,directory_not_allowed|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,directory_not_allowed|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,invalid_directory_selector|invalid_version_selector|unsupported_version,invalid_directory_selector|invalid_version_selector|unsupported_version,messages.expand.v4,messages.expand.v4,YES,YES
GET,/slimapi/messages/{sid}/expand/{category}/{mid},src/oc_slimapi/routes/messages.py:1616,v3:§4b|v3:§10.a|v4:§14,both,dual,query,GET /session/{sid}/message/{mid}（共享单飞）,none,无 ETag；Vary: Accept-Encoding；no-store,singleflight,messages.expand,INTERFACE_MAP.md:28|INTERFACE_MAP.md:29,test_access_log.py|test_access_log_v3_fields.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b2_merged_text_compat.py|test_batch3_lifecycle.py|test_check_routes_doc.py|test_command_routes.py|test_diff_routes.py|test_errors.py|test_etag.py|test_expand_config.py,v3|v4,v3|v4,expand_category_mismatch|expand_fragment_too_large|expand_source_too_large|expand_target_not_found|invalid_expand_category|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,expand_category_mismatch|expand_fragment_too_large|expand_source_too_large|expand_target_not_found|invalid_expand_category|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,invalid_directory_selector|invalid_version_selector|unsupported_version,invalid_directory_selector|invalid_version_selector|unsupported_version,messages.expand.v4,messages.expand.v4,YES,YES
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},src/oc_slimapi/routes/messages.py:1631,v3:§4b|v3:§10.a,both,dual,query,GET /session/{sid}/message/{mid}（共享单飞）,none,无 ETag；Vary: Accept-Encoding；no-store,singleflight,messages.expand,INTERFACE_MAP.md:29,test_access_log.py|test_access_log_v3_fields.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b2_merged_text_compat.py|test_batch3_lifecycle.py|test_check_routes_doc.py|test_command_routes.py|test_diff_routes.py|test_errors.py|test_etag.py|test_expand_config.py,v3|v4,v3|v4,expand_category_mismatch|expand_fragment_too_large|expand_source_too_large|expand_target_not_found|invalid_expand_category|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,expand_category_mismatch|expand_fragment_too_large|expand_source_too_large|expand_target_not_found|invalid_expand_category|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,invalid_directory_selector|invalid_version_selector|unsupported_version,invalid_directory_selector|invalid_version_selector|unsupported_version,messages.expand.v4,messages.expand.v4,YES,YES
GET,/slimapi/messages/{sid}/full/{mid},src/oc_slimapi/routes/messages.py:1144,NONE,both,dual,query,GET /session/{sid}/message/{mid},none,无 ETag（恒 200）+Vary: X-Opencode-Directory 恒（1.5.0 修正）,singleflight,messages,INTERFACE_MAP.md:27|INTERFACE_MAP.md:125,test_access_log.py|test_access_log_v3_fields.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_b2_merged_text_compat.py|test_batch3_lifecycle.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_cursor_matrix.py|test_dbaux_lifecycle.py,v3|v4,v3|v4,message_too_large|response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,message_too_large|response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_invalid_shape|upstream_unavailable,invalid_directory_selector|invalid_version_selector|unsupported_version,invalid_directory_selector|invalid_version_selector|unsupported_version,messages.expand.v4,messages.expand.v4,YES,YES
GET,/slimapi/metrics,src/oc_slimapi/routes/metrics.py:20,v3:§4b,both,dual,tolerant,NO_UPSTREAM_IO,none,无,none,metrics,INTERFACE_MAP.md:98|INTERFACE_MAP.md:99,test_b1b_sweep_shadow.py|test_dbaux_metrics.py|test_degraded_observability.py|test_expand_config.py|test_hub.py|test_hub_behavior_lock.py|test_lifespan.py|test_metrics.py|test_metrics_replay_block.py|test_replay_log.py|test_sse_replay_wire.py|test_token_hub_flush.py,v3|v4,v3|v4,NONE,NONE,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/permissions,src/oc_slimapi/routes/permissions.py:84,v3:§10.b,both,dual,tolerant,发现 flight + GET /session/{sid}/permission fanout,skeleton,无,none,other,INTERFACE_MAP.md:38|INTERFACE_MAP.md:67,test_b1b_sweep_shadow.py|test_messages_routes.py|test_permissions.py|test_questions_coalesce.py|test_v3_directory.py|test_v4_dual_window.py|test_write_groups.py,v3|v4,v3|v4,response_too_large|upstream_http_<N>|upstream_unavailable,response_too_large|upstream_http_<N>|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,YES,YES
GET,/slimapi/questions,src/oc_slimapi/routes/questions.py:78,v3:§11,both,dual,tolerant,发现 flight + GET /session/{sid}/question fanout,none,无,none,questions,INTERFACE_MAP.md:36|INTERFACE_MAP.md:38,test_b1b_sweep_shadow.py|test_config.py|test_directories_routes.py|test_gzip_negotiation.py|test_messages_routes.py|test_permissions.py|test_questions_coalesce.py|test_questions_routes.py|test_traffic_ledger.py|test_v3_directory.py,v3|v4,v3|v4,response_too_large|upstream_http_<N>|upstream_unavailable,response_too_large|upstream_http_<N>|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,YES,YES
GET,/slimapi/ready,src/oc_slimapi/routes/health.py:105,v3:§3a,both,dual,tolerant,GET /global/health（5s ping）,none,无（503 on fail）,none,health,INTERFACE_MAP.md:50|INTERFACE_MAP.md:97|INTERFACE_MAP.md:99,test_access_log.py|test_access_log_v3_fields.py|test_diff_routes.py|test_equivalence_anchor.py|test_full_absorb.py|test_globalhub_retired_gate.py|test_gzip_negotiation.py|test_health.py|test_health_dual_view.py|test_hub.py|test_hub_behavior_lock.py|test_leased_singleflight.py,v3|v4,v3|v4,NONE,NONE,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/session/{sid},src/oc_slimapi/routes/read_groups.py:555,v3:§10.a|v3:§10.b|v4:§3.3|v4:§5.2|v4:§10|v4:§13|v4:§16|v4:§16.1|v4:§16.2,both,dual,query,GET /session/{sid},mixed,启用 +Vary（v3 skeleton 域 / v4 §13 canonical）,none,session_single,INTERFACE_MAP.md:26|INTERFACE_MAP.md:27|INTERFACE_MAP.md:28|INTERFACE_MAP.md:30|INTERFACE_MAP.md:31|INTERFACE_MAP.md:32,test_access_log_v3_fields.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py,v3|v4,v3|v4,auxiliary_unavailable|response_too_large|session_not_found|upstream_http_<N>|upstream_unavailable,auxiliary_unavailable|response_too_large|session_not_found|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,session.single.projection.v4,session.single.projection.v4,NO,NO
GET,/slimapi/session/{sid}/context,src/oc_slimapi/routes/read_groups.py:619,v3:§10.a,both,dual,tolerant,GET /api/session/{sid}/context,none,启用（受控代理缺省）+Vary: Accept-Encoding,none,session_context,INTERFACE_MAP.md:48,test_access_log_v3_fields.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py,v3|v4,v3|v4,response_too_large|upstream_http_<N>|upstream_unavailable,response_too_large|upstream_http_<N>|upstream_unavailable,invalid_version_selector|unsupported_version,invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/sessions,src/oc_slimapi/routes/sessions.py:678,v3:§4|v3:§6|v4:§2|v4:§4|v4:§4.1|v4:§5.2|v4:§7|v4:§10|v4:§13|v4:§17,both,dual,query,GET /session（v3/fallback；v4 常态 dbaux 零上游）,mixed,v3: ETag+Vary；v4: §15 修复后 ETag(identity 强/gzip 弱)+Vary,singleflight,sessions,INTERFACE_MAP.md:7|INTERFACE_MAP.md:25|INTERFACE_MAP.md:30|INTERFACE_MAP.md:31|INTERFACE_MAP.md:32|INTERFACE_MAP.md:33,test_access_log_v3_fields.py|test_b4_allowlist.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_degraded_observability.py|test_diff_routes.py|test_directories_routes.py|test_eqp_matrix.py|test_equivalence_anchor.py|test_errors.py|test_etag.py,v3|v4,v3|v4,auxiliary_unavailable|directory_retired_in_v4|invalid_cursor|param_version_mismatch|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,auxiliary_unavailable|directory_retired_in_v4|invalid_cursor|param_version_mismatch|response_too_large|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,representation.vary.v4,representation.vary.v4,YES,YES
GET,/slimapi/sessions/status,src/oc_slimapi/routes/sessions.py:806,v3:§4|v4:§2|v4:§5.2|v4:§10|v4:§17,both,dual,query,GET /session/status,none,无 ETag,none,sessions,INTERFACE_MAP.md:30,test_access_log.py|test_access_log_v3_fields.py|test_actions.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py,v3|v4,v3|v4,response_too_large|upstream_http_<N>|upstream_unavailable,response_too_large|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/sessions/{sid}/children,src/oc_slimapi/routes/children.py:55,NONE,both,dual,query,GET /session/{sid}/child,skeleton,无 ETag（thin）,none,sessions,INTERFACE_MAP.md:32,test_access_log_v3_fields.py|test_actions.py|test_b4_allowlist.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_degraded_observability.py|test_diff_routes.py|test_directories_routes.py|test_eqp_matrix.py|test_equivalence_anchor.py|test_errors.py,v3|v4,v3|v4,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/sessions/{sid}/diff,src/oc_slimapi/routes/diff.py:63,NONE,both,dual,query,GET /session/{sid}/diff,none,无 ETag（thin）,none,sessions,INTERFACE_MAP.md:33,test_access_log.py|test_access_log_v3_fields.py|test_actions_routes.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_degraded_observability.py|test_diff_routes.py|test_directories_routes.py,v3|v4,v3|v4,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/sessions/{sid}/stream,src/oc_slimapi/routes/token_stream.py:124,v4:§7|v4:§10,both,dual,query,NO_UPSTREAM_IO（GlobalHub→TokenStreamHub）,none,SSE 恒 identity 无 Vary,none,token_stream_sse,INTERFACE_MAP.md:89|INTERFACE_MAP.md:99|INTERFACE_MAP.md:131,test_access_log_v3_fields.py|test_actions_routes.py|test_agent_routes.py|test_b1a_digest_changed.py|test_b1b_sweep_shadow.py|test_b2_merged_text_compat.py|test_b4_allowlist.py|test_b4_new_routes.py|test_batch3_lifecycle.py|test_catalog_cache.py|test_check_routes_doc.py|test_children_routes.py,v3|v4,v3|v4,directory_not_allowed|invalid_directory|invalid_directory_selector|sse_token_handshake_overflow|sse_token_subscriber_limit,directory_not_allowed|invalid_directory|invalid_directory_selector|sse_token_handshake_overflow|sse_token_subscriber_limit,invalid_directory_selector|invalid_version_selector|sse_token_handshake_overflow|sse_token_subscriber_limit|unsupported_version,invalid_directory_selector|invalid_version_selector|sse_token_handshake_overflow|sse_token_subscriber_limit|unsupported_version,NONE,NONE,YES,YES
GET,/slimapi/sessions/{sid}/todo,src/oc_slimapi/routes/todo.py:47,v4:§5.2,both,dual,query,GET /session/{sid}/todo,skeleton,无 ETag（thin）,none,sessions,INTERFACE_MAP.md:31,test_access_log_v3_fields.py|test_b4_allowlist.py|test_check_routes_doc.py|test_children_routes.py|test_command_routes.py|test_degraded_observability.py|test_diff_routes.py|test_directories_routes.py|test_eqp_matrix.py|test_equivalence_anchor.py|test_errors.py|test_etag.py,v3|v4,v3|v4,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,response_too_large|session_not_found|transform_busy|upstream_http_<N>|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/vcs,src/oc_slimapi/routes/read_groups.py:192,v3:§6|v3:§10.a|v4:§10,both,dual,query,GET /vcs,none,启用 +Vary: Accept-Encoding,none,vcs,INTERFACE_MAP.md:42|INTERFACE_MAP.md:43|INTERFACE_MAP.md:44,test_read_groups.py|test_terminal_matrix.py|test_v3_rawbody_regression.py|test_v4_dual_window.py|test_versions_readiness.py|test_versions_route.py,v3|v4,v3|v4,response_too_large|upstream_unavailable,response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
GET,/slimapi/vcs/diff,src/oc_slimapi/routes/read_groups.py:210,v3:§10.a,both,dual,query,GET /vcs/diff,none,启用 +Vary: Accept-Encoding,none,vcs,INTERFACE_MAP.md:44,test_access_log.py|test_actions_routes.py|test_b2_merged_text_compat.py|test_catalog_cache.py|test_check_routes_doc.py|test_diff_routes.py|test_equivalence_anchor.py|test_expand_config.py|test_expand_href_v4.py|test_expand_routes.py|test_full_absorb.py|test_globalhub_retired_gate.py,v3|v4,v3|v4,response_too_large|upstream_unavailable,response_too_large|upstream_unavailable,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,directory_conflict|directory_header_retired|invalid_directory_selector|invalid_version_selector|unsupported_version,NONE,NONE,NO,NO
