method,path,family,side,wire_version,feature_id,feature_state,applicable,error_codes,evidence_ref
GET,/slimapi/api/session/active,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/api/session/active,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/api/session/active,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/command,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/command,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/command,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/command,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/command,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/command,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/config/providers,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/config/providers,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/config/providers,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/config/providers,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/config/providers,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/config/providers,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/directories,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/directories,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/directories,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/directories,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/directories,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/directories,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/events,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/events,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/events,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/events,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/events,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/events,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/events,t3_admission_503,actual,none,NONE,none,1,sse_subscriber_limit_directory|sse_subscriber_limit_total,src/oc_slimapi/sse/registry.py:213-228|routes/events.py:133-139
GET,/slimapi/events,t3_admission_503,contract,none,NONE,none,1,sse_subscriber_limit_directory|sse_subscriber_limit_total,v3:§7|v4:§7
GET,/slimapi/file,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/file,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/file,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/file,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/file/content,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/file/content,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/file/content,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file/content,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file/content,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/file/content,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/file/status,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/file/status,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/file/status,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file/status,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/file/status,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/file/status,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/find/file,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/find/file,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/find/file,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/find/file,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/find/file,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/find/file,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/global/health,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/global/health,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/global/health,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/global/health,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/global/health,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/global/health,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/health,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/health,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/health,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/health,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/health,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/health,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/messages/{sid},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector,src/oc_slimapi/selector.py:681|routes 层 directory_not_allowed(400)
GET,/slimapi/messages/{sid},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector,v3:§5|v4:§5
GET,/slimapi/messages/{sid},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/messages/{sid},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/messages/{sid}/expand/{category}/{mid},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector,src/oc_slimapi/selector.py:681|routes 层 directory_not_allowed(400)
GET,/slimapi/messages/{sid}/expand/{category}/{mid},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector,v3:§5|v4:§5
GET,/slimapi/messages/{sid}/expand/{category}/{mid},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/expand/{category}/{mid},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/expand/{category}/{mid},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/messages/{sid}/expand/{category}/{mid},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector,src/oc_slimapi/selector.py:681|routes 层 directory_not_allowed(400)
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector,v3:§5|v4:§5
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/messages/{sid}/expand/{category}/{mid}/{partID},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/messages/{sid}/full/{mid},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector,src/oc_slimapi/selector.py:681|routes 层 directory_not_allowed(400)
GET,/slimapi/messages/{sid}/full/{mid},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector,v3:§5|v4:§5
GET,/slimapi/messages/{sid}/full/{mid},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/full/{mid},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/messages/{sid}/full/{mid},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/messages/{sid}/full/{mid},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/metrics,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/metrics,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/metrics,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/metrics,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/metrics,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/metrics,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/permissions,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/permissions,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/permissions,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/permissions,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/permissions,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/permissions,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/questions,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/questions,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/questions,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/questions,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/questions,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/questions,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/ready,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/ready,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/ready,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/ready,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/ready,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/ready,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/session/{sid},directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/session/{sid},directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/session/{sid},middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/session/{sid},middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/session/{sid},selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/session/{sid},selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/session/{sid}/context,directory_consumption_400,actual,none,NONE,none,0,NONE,src/oc_slimapi/selector.py:656-660
GET,/slimapi/session/{sid}/context,directory_consumption_400,contract,none,NONE,none,0,NONE,v3:§5(宽容集)
GET,/slimapi/session/{sid}/context,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/session/{sid}/context,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/session/{sid}/context,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/session/{sid}/context,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/sessions,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/sessions,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions/status,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/sessions/status,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/sessions/status,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/status,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/status,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions/status,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions/{sid}/children,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/sessions/{sid}/children,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/sessions/{sid}/children,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/children,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/children,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions/{sid}/children,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions/{sid}/diff,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/sessions/{sid}/diff,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/sessions/{sid}/diff,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/diff,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/diff,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions/{sid}/diff,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions/{sid}/stream,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector,src/oc_slimapi/selector.py:681|routes 层 directory_not_allowed(400)
GET,/slimapi/sessions/{sid}/stream,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector,v3:§5|v4:§5
GET,/slimapi/sessions/{sid}/stream,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/stream,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/stream,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions/{sid}/stream,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/sessions/{sid}/stream,t3_admission_503,actual,none,NONE,none,1,sse_token_subscriber_limit|sse_token_handshake_overflow,"src/oc_slimapi/sse/tokenstream/subscriber.py:515-533,663-668|routes/token_stream.py:173-182"
GET,/slimapi/sessions/{sid}/stream,t3_admission_503,contract,none,NONE,none,1,sse_token_subscriber_limit|sse_token_handshake_overflow,v3:§7|v4:§7
GET,/slimapi/sessions/{sid}/todo,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/sessions/{sid}/todo,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/sessions/{sid}/todo,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/todo,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/sessions/{sid}/todo,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/sessions/{sid}/todo,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/vcs,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/vcs,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/vcs,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/vcs,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/vcs,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/vcs,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
GET,/slimapi/vcs/diff,directory_consumption_400,actual,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,src/oc_slimapi/selector.py:641-704
GET,/slimapi/vcs/diff,directory_consumption_400,contract,none,NONE,none,1,invalid_directory_selector|directory_conflict|directory_header_retired,v3:§5|v4:§5
GET,/slimapi/vcs/diff,middleware_generic,actual,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/vcs/diff,middleware_generic,contract,none,NONE,none,0,NONE,src/oc_slimapi/middleware/request_id.py|middleware/traffic_accounting.py
GET,/slimapi/vcs/diff,selector_version_400,actual,none,NONE,none,1,unsupported_version|invalid_version_selector,src/oc_slimapi/selector.py:549-636
GET,/slimapi/vcs/diff,selector_version_400,contract,none,NONE,none,1,unsupported_version|invalid_version_selector,v3:§2|v4:§2
